UF;Ano;Idade;Mulheres;Filhos tidos no ultimo ano
Pará;2018;10 a 14 anos;400363;1886,027024
Pará;2018;15 a 19 anos;397194;31286,44828
Pará;2018;20 a 24 anos;384928;42200,60467
Pará;2018;25 a 29 anos;365896;31264,44797
Pará;2018;30 a 34 anos;353946;20640,29574
Pará;2018;35 a 39 anos;328786;9788,140248
Pará;2018;40 a 44 anos;270990;2327,033343
Pará;2018;45 a 49 anos;226013;169,0024215
Pará;2018;50 a 54 anos;186303;17,00024359
Pará;2018;55 a 59 anos;152659;4,000057314
Amapá;2011;10 a 14 anos;41067;246
Amapá;2011;15 a 19 anos;36497;3569
Amapá;2011;20 a 24 anos;33221;4390
Amapá;2011;25 a 29 anos;32368;3473
Amapá;2011;30 a 34 anos;28134;2069
Amapá;2011;35 a 39 anos;23753;980
Amapá;2011;40 a 44 anos;18729;251
Amapá;2011;45 a 49 anos;14514;31
Amapá;2011;50 a 54 anos;11292;2
Amapá;2011;55 a 59 anos;8401;1
Amapá;2018;10 a 14 anos;43574;214,0275969
Amapá;2018;15 a 19 anos;44438;3393,437552
Amapá;2018;20 a 24 anos;39899;4226,544974
Amapá;2018;25 a 29 anos;35422;3371,434715
Amapá;2018;30 a 34 anos;33060;2551,32897
Amapá;2018;35 a 39 anos;30464;1384,178477
Amapá;2018;40 a 44 anos;25176;338,0435876
Amapá;2018;45 a 49 anos;20539;31,00399768
Amapá;2018;50 a 54 anos;15673;1,000128957
Amapá;2018;55 a 59 anos;12168;0
Tocantins;2011;10 a 14 anos;71616;355,0141864
Tocantins;2011;15 a 19 anos;68473;5845,233576
Tocantins;2011;20 a 24 anos;67151;7827,31278
Tocantins;2011;25 a 29 anos;66291;6001,23981
Tocantins;2011;30 a 34 anos;58878;3420,136669
Tocantins;2011;35 a 39 anos;48444;1252,050032
Tocantins;2011;40 a 44 anos;42166;309,0123481
Tocantins;2011;45 a 49 anos;35607;15,00059942
Tocantins;2011;50 a 54 anos;28981;0
Tocantins;2011;55 a 59 anos;22800;0
Tocantins;2018;10 a 14 anos;71528;270
Tocantins;2018;15 a 19 anos;72524;4764
Tocantins;2018;20 a 24 anos;68763;6886
Tocantins;2018;25 a 29 anos;67302;6040
Tocantins;2018;30 a 34 anos;66915;4648
Tocantins;2018;35 a 39 anos;62293;2225
Tocantins;2018;40 a 44 anos;51670;483
Tocantins;2018;45 a 49 anos;43427;26
Tocantins;2018;50 a 54 anos;37576;0
Tocantins;2018;55 a 59 anos;30335;0
Maranhão;2011;10 a 14 anos;346792;1895
Maranhão;2011;15 a 19 anos;319990;29423
Maranhão;2011;20 a 24 anos;321986;40581
Maranhão;2011;25 a 29 anos;319878;27718
Maranhão;2011;30 a 34 anos;267088;13529
Maranhão;2011;35 a 39 anos;208594;5350
Maranhão;2011;40 a 44 anos;177466;1484
Maranhão;2011;45 a 49 anos;155828;148
Maranhão;2011;50 a 54 anos;130958;16
Maranhão;2011;55 a 59 anos;107044;7
Maranhão;2018;10 a 14 anos;355018;1515
Maranhão;2018;15 a 19 anos;335579;26215
Maranhão;2018;20 a 24 anos;297854;33663
Maranhão;2018;25 a 29 anos;299430;26651
Maranhão;2018;30 a 34 anos;312189;18002
Maranhão;2018;35 a 39 anos;286694;8182
Maranhão;2018;40 a 44 anos;221404;1763
Maranhão;2018;45 a 49 anos;179126;126
Maranhão;2018;50 a 54 anos;155565;9
Maranhão;2018;55 a 59 anos;131417;2
Piauí;2011;10 a 14 anos;150382;589,0116805
Piauí;2011;15 a 19 anos;136872;10487,20797
Piauí;2011;20 a 24 anos;147610;15899,31529
Piauí;2011;25 a 29 anos;152199;12585,24957
Piauí;2011;30 a 34 anos;135139;7183,142446
Piauí;2011;35 a 39 anos;107838;2877,057054
Piauí;2011;40 a 44 anos;96140;748,0148336
Piauí;2011;45 a 49 anos;88203;53,00105105
Piauí;2011;50 a 54 anos;75810;4,000079324
Piauí;2011;55 a 59 anos;63070;1,000019831
Piauí;2018;10 a 14 anos;143626;457
Piauí;2018;15 a 19 anos;146143;9078
Piauí;2018;20 a 24 anos;123664;12794
Piauí;2018;25 a 29 anos;130378;11692
Piauí;2018;30 a 34 anos;146128;9499
Piauí;2018;35 a 39 anos;140762;4407
Piauí;2018;40 a 44 anos;114538;996
Piauí;2018;45 a 49 anos;95587;49
Piauí;2018;50 a 54 anos;88764;5
Piauí;2018;55 a 59 anos;77521;0
Ceará;2011;10 a 14 anos;410808;1483,104729
Ceará;2011;15 a 19 anos;405284;24908,75893
Ceará;2011;20 a 24 anos;408439;35671,51894
Ceará;2011;25 a 29 anos;397930;31227,2051
Ceará;2011;30 a 34 anos;349262;21039,4857
Ceará;2011;35 a 39 anos;300708;9976,704503
Ceará;2011;40 a 44 anos;276281;2879,203314
Ceará;2011;45 a 49 anos;249932;255,0180081
Ceará;2011;50 a 54 anos;202335;10,0007062
Ceará;2011;55 a 59 anos;167326;1,00007062
Ceará;2018;10 a 14 anos;376839;1172
Ceará;2018;15 a 19 anos;398372;20931
Ceará;2018;20 a 24 anos;389631;34123
Ceará;2018;25 a 29 anos;394407;31409
Ceará;2018;30 a 34 anos;397046;25852
Ceará;2018;35 a 39 anos;367863;13941
Ceará;2018;40 a 44 anos;312291;3346
Ceará;2018;45 a 49 anos;276672;202
Ceará;2018;50 a 54 anos;254436;12
Ceará;2018;55 a 59 anos;214863;3
Rio Grande do Norte;2011;10 a 14 anos;146731;523
Rio Grande do Norte;2011;15 a 19 anos;145411;9386
Rio Grande do Norte;2011;20 a 24 anos;153023;13838
Rio Grande do Norte;2011;25 a 29 anos;153624;12003
Rio Grande do Norte;2011;30 a 34 anos;134743;8051
Rio Grande do Norte;2011;35 a 39 anos;116940;3608
Rio Grande do Norte;2011;40 a 44 anos;110044;977
Rio Grande do Norte;2011;45 a 49 anos;102128;67
Rio Grande do Norte;2011;50 a 54 anos;80697;4
Rio Grande do Norte;2011;55 a 59 anos;62826;1
Rio Grande do Norte;2018;10 a 14 anos;142309;393,0082695
Rio Grande do Norte;2018;15 a 19 anos;149002;7536,158573
Rio Grande do Norte;2018;20 a 24 anos;143437;11729,2468
Rio Grande do Norte;2018;25 a 29 anos;149339;11200,23567
Rio Grande do Norte;2018;30 a 34 anos;155200;9921,208758
Rio Grande do Norte;2018;35 a 39 anos;144408;5476,115226
Rio Grande do Norte;2018;40 a 44 anos;122455;1200,02525
Rio Grande do Norte;2018;45 a 49 anos;110930;65,00136773
Rio Grande do Norte;2018;50 a 54 anos;104536;3,000063126
Rio Grande do Norte;2018;55 a 59 anos;87833;1,000021042
Paraíba;2011;10 a 14 anos;169076;628
Paraíba;2011;15 a 19 anos;167956;11208
Paraíba;2011;20 a 24 anos;175895;16843
Paraíba;2011;25 a 29 anos;180976;14864
Paraíba;2011;30 a 34 anos;163797;9897
Paraíba;2011;35 a 39 anos;138050;4405
Paraíba;2011;40 a 44 anos;126539;1171
Paraíba;2011;45 a 49 anos;113972;83
Paraíba;2011;50 a 54 anos;93302;4
Paraíba;2011;55 a 59 anos;78677;1
Paraíba;2018;10 a 14 anos;169890;494
Paraíba;2018;15 a 19 anos;167692;9761
Paraíba;2018;20 a 24 anos;158898;15053
Paraíba;2018;25 a 29 anos;167488;14504
Paraíba;2018;30 a 34 anos;178995;12086
Paraíba;2018;35 a 39 anos;173336;6394
Paraíba;2018;40 a 44 anos;146364;1516
Paraíba;2018;45 a 49 anos;127137;78
Paraíba;2018;50 a 54 anos;117231;8
Paraíba;2018;55 a 59 anos;98465;0
Pernambuco;2011;10 a 14 anos;414355;1649,011877
Pernambuco;2011;15 a 19 anos;400185;28197,20309
Pernambuco;2011;20 a 24 anos;404485;39971,2879
Pernambuco;2011;25 a 29 anos;417765;34328,24725
Pernambuco;2011;30 a 34 anos;385003;21835,15727
Pernambuco;2011;35 a 39 anos;341129;10098,07273
Pernambuco;2011;40 a 44 anos;305754;2560,018439
Pernambuco;2011;45 a 49 anos;273575;184,0013253
Pernambuco;2011;50 a 54 anos;228775;14,00010084
Pernambuco;2011;55 a 59 anos;189733;2,000014405
Pernambuco;2018;10 a 14 anos;397536;1193,008566
Pernambuco;2018;15 a 19 anos;411683;24385,1751
Pernambuco;2018;20 a 24 anos;390657;36888,26487
Pernambuco;2018;25 a 29 anos;390646;33160,2381
Pernambuco;2018;30 a 34 anos;406864;26056,18709
Pernambuco;2018;35 a 39 anos;399467;14147,10158
Pernambuco;2018;40 a 44 anos;351882;3248,023322
Pernambuco;2018;45 a 49 anos;312434;169,0012135
Pernambuco;2018;50 a 54 anos;278262;18,00012925
Pernambuco;2018;55 a 59 anos;237502;3,000021541
Alagoas;2011;10 a 14 anos;167448;891
Alagoas;2011;15 a 19 anos;155296;12620
Alagoas;2011;20 a 24 anos;148504;16364
Alagoas;2011;25 a 29 anos;150006;12538
Alagoas;2011;30 a 34 anos;136244;7555
Alagoas;2011;35 a 39 anos;114572;3487
Alagoas;2011;40 a 44 anos;101115;924
Alagoas;2011;45 a 49 anos;87631;80
Alagoas;2011;50 a 54 anos;72476;4
Alagoas;2011;55 a 59 anos;60064;1
Alagoas;2018;10 a 14 anos;157201;664
Alagoas;2018;15 a 19 anos;159901;11393
Alagoas;2018;20 a 24 anos;147459;14800
Alagoas;2018;25 a 29 anos;141606;11425
Alagoas;2018;30 a 34 anos;144555;8535
Alagoas;2018;35 a 39 anos;140610;4275
Alagoas;2018;40 a 44 anos;119359;1049
Alagoas;2018;45 a 49 anos;102160;57
Alagoas;2018;50 a 54 anos;89924;2
Alagoas;2018;55 a 59 anos;74636;1
Sergipe;2011;10 a 14 anos;104725;415
Sergipe;2011;15 a 19 anos;100676;6786
Sergipe;2011;20 a 24 anos;100459;9131
Sergipe;2011;25 a 29 anos;101911;8500
Sergipe;2011;30 a 34 anos;91712;5836
Sergipe;2011;35 a 39 anos;79044;2905
Sergipe;2011;40 a 44 anos;70525;816
Sergipe;2011;45 a 49 anos;61548;65
Sergipe;2011;50 a 54 anos;48887;5
Sergipe;2011;55 a 59 anos;39456;2
Sergipe;2018;10 a 14 anos;99482;364
Sergipe;2018;15 a 19 anos;107174;6153
Sergipe;2018;20 a 24 anos;101884;8802
Sergipe;2018;25 a 29 anos;100573;7787
Sergipe;2018;30 a 34 anos;101950;6744
Sergipe;2018;35 a 39 anos;97257;3862
Sergipe;2018;40 a 44 anos;83358;975
Sergipe;2018;45 a 49 anos;72764;51
Sergipe;2018;50 a 54 anos;64137;4
Sergipe;2018;55 a 59 anos;52373;0
Bahia;2011;10 a 14 anos;667046;2612,097388
Bahia;2011;15 a 19 anos;658493;43853,63501
Bahia;2011;20 a 24 anos;660881;58452,17929
Bahia;2011;25 a 29 anos;724938;53330,98836
Bahia;2011;30 a 34 anos;649767;35701,33107
Bahia;2011;35 a 39 anos;536442;15945,59451
Bahia;2011;40 a 44 anos;472798;4331,16148
Bahia;2011;45 a 49 anos;417262;316,011782
Bahia;2011;50 a 54 anos;358254;27,00100669
Bahia;2011;55 a 59 anos;289062;3,000111854
Bahia;2018;10 a 14 anos;621276;2077,020134
Bahia;2018;15 a 19 anos;628945;35693,34599
Bahia;2018;20 a 24 anos;618384;50250,4871
Bahia;2018;25 a 29 anos;625583;46750,45318
Bahia;2018;30 a 34 anos;682522;41613,40338
Bahia;2018;35 a 39 anos;690017;23726,22999
Bahia;2018;40 a 44 anos;564310;5802,056242
Bahia;2018;45 a 49 anos;478691;376,0036448
Bahia;2018;50 a 54 anos;425905;33,00031989
Bahia;2018;55 a 59 anos;365989;2,000019387
Minas Gerais;2011;10 a 14 anos;820070;2612,097388
Minas Gerais;2011;15 a 19 anos;835887;43853,63501
Minas Gerais;2011;20 a 24 anos;851332;58452,17929
Minas Gerais;2011;25 a 29 anos;899371;53330,98836
Minas Gerais;2011;30 a 34 anos;842431;35701,33107
Minas Gerais;2011;35 a 39 anos;736987;15945,59451
Minas Gerais;2011;40 a 44 anos;697776;4331,16148
Minas Gerais;2011;45 a 49 anos;673903;316,011782
Minas Gerais;2011;50 a 54 anos;593987;27,00100669
Minas Gerais;2011;55 a 59 anos;488086;3,000111854
Minas Gerais;2018;10 a 14 anos;747373;2077,020134
Minas Gerais;2018;15 a 19 anos;800169;35693,34599
Minas Gerais;2018;20 a 24 anos;814157;50250,4871
Minas Gerais;2018;25 a 29 anos;829885;46750,45318
Minas Gerais;2018;30 a 34 anos;870785;41613,40338
Minas Gerais;2018;35 a 39 anos;874118;23726,22999
Minas Gerais;2018;40 a 44 anos;768974;5802,056242
Minas Gerais;2018;45 a 49 anos;691579;376,0036448
Minas Gerais;2018;50 a 54 anos;669699;33,00031989
Minas Gerais;2018;55 a 59 anos;612716;2,000019387
Espírito Santo;2011;10 a 14 anos;155713;390
Espírito Santo;2011;15 a 19 anos;156466;8774
