UF;Ano;Idade;Mulheres;Filhos tidos no ultimo ano
Goiás;2018;20 a 24 anos;288700;25796,2609
Goiás;2018;25 a 29 anos;286814;25150,25436
Goiás;2018;30 a 34 anos;287005;20435,20668
Goiás;2018;35 a 39 anos;285013;10516,10636
Goiás;2018;40 a 44 anos;259235;2270,022959
Goiás;2018;45 a 49 anos;231433;113,0011429
Goiás;2018;50 a 54 anos;207383;8,000080911
Goiás;2018;55 a 59 anos;174948;1,000010114
Distrito Federal;2011;10 a 14 anos;110332;225
Distrito Federal;2011;15 a 19 anos;123451;5781
Distrito Federal;2011;20 a 24 anos;129149;10217
Distrito Federal;2011;25 a 29 anos;141055;11506
Distrito Federal;2011;30 a 34 anos;134058;9971
Distrito Federal;2011;35 a 39 anos;120921;4951
Distrito Federal;2011;40 a 44 anos;104048;1223
Distrito Federal;2011;45 a 49 anos;88429;60
Distrito Federal;2011;50 a 54 anos;69058;1
Distrito Federal;2011;55 a 59 anos;56489;0
Distrito Federal;2018;10 a 14 anos;103892;146
Distrito Federal;2018;15 a 19 anos;123767;4622
Distrito Federal;2018;20 a 24 anos;147113;9284
Distrito Federal;2018;25 a 29 anos;149320;10269
Distrito Federal;2018;30 a 34 anos;147246;10857
Distrito Federal;2018;35 a 39 anos;146191;7518
Distrito Federal;2018;40 a 44 anos;134923;1827
Distrito Federal;2018;45 a 49 anos;114510;113
Distrito Federal;2018;50 a 54 anos;98137;13
Distrito Federal;2018;55 a 59 anos;76204;0
