UF;Ano;Grupos de idade;Mulheres;SINASC
Amapá;2000;20 a 24 anos;25339;4678
Amapá;2000;25 a 29 anos;20916;3068
Amapá;2000;30 a 34 anos;17131;1527
Amapá;2000;35 a 39 anos;13784;708
Amapá;2000;40 a 44 anos;10661;200
Amapá;2000;45 a 49 anos;7943;32
Amapá;2000;50 a 54 anos;5363;0
Amapá;2000;55 a 59 anos;4521;0
Amapá;2010;10 a 14 anos;39262;270
Amapá;2010;15 a 19 anos;36714;3869
Amapá;2010;20 a 24 anos;34442;4635
Amapá;2010;25 a 29 anos;32686;3676
Amapá;2010;30 a 34 anos;28205;2197
Amapá;2010;35 a 39 anos;23411;1039
Amapá;2010;40 a 44 anos;18421;268
Amapá;2010;45 a 49 anos;14196;35
Amapá;2010;50 a 54 anos;11057;2
Amapá;2010;55 a 59 anos;8254;1
Tocantins;2000;10 a 14 anos;68314;402
Tocantins;2000;15 a 19 anos;65948;8077
Tocantins;2000;20 a 24 anos;56804;9489
Tocantins;2000;25 a 29 anos;45281;4739
Tocantins;2000;30 a 34 anos;41103;2104
Tocantins;2000;35 a 39 anos;35094;855
Tocantins;2000;40 a 44 anos;28828;255
Tocantins;2000;45 a 49 anos;22860;34
Tocantins;2000;50 a 54 anos;17765;1
Tocantins;2000;55 a 59 anos;14998;2
Tocantins;2010;10 a 14 anos;70463;355
Tocantins;2010;15 a 19 anos;68561;5847
Tocantins;2010;20 a 24 anos;65462;7776
Tocantins;2010;25 a 29 anos;62704;5904
Tocantins;2010;30 a 34 anos;57698;3358
Tocantins;2010;35 a 39 anos;47049;1213
Tocantins;2010;40 a 44 anos;42076;301
Tocantins;2010;45 a 49 anos;34861;15
Tocantins;2010;50 a 54 anos;29127;1
Tocantins;2010;55 a 59 anos;22259;0
Maranhão;2000;10 a 14 anos;365778;1430
Maranhão;2000;15 a 19 anos;350593;31632
Maranhão;2000;20 a 24 anos;270286;37710
Maranhão;2000;25 a 29 anos;205063;17729
Maranhão;2000;30 a 34 anos;180525;8428
Maranhão;2000;35 a 39 anos;161933;3886
Maranhão;2000;40 a 44 anos;136862;1305
Maranhão;2000;45 a 49 anos;113809;161
Maranhão;2000;50 a 54 anos;90097;5
Maranhão;2000;55 a 59 anos;78849;0
Maranhão;2010;10 a 14 anos;357650;1857
Maranhão;2010;15 a 19 anos;339382;28851
Maranhão;2010;20 a 24 anos;329327;39791
Maranhão;2010;25 a 29 anos;301630;27090
Maranhão;2010;30 a 34 anos;254663;13159
Maranhão;2010;35 a 39 anos;205686;5201
Maranhão;2010;40 a 44 anos;182567;1452
Maranhão;2010;45 a 49 anos;157652;148
Maranhão;2010;50 a 54 anos;132832;14
Maranhão;2010;55 a 59 anos;113463;7
Piauí;2000;10 a 14 anos;173389;714
Piauí;2000;15 a 19 anos;170717;16680
Piauí;2000;20 a 24 anos;139567;22097
Piauí;2000;25 a 29 anos;107516;11901
Piauí;2000;30 a 34 anos;98578;6005
Piauí;2000;35 a 39 anos;90625;2843
Piauí;2000;40 a 44 anos;77193;938
Piauí;2000;45 a 49 anos;65155;81
Piauí;2000;50 a 54 anos;53885;0
Piauí;2000;55 a 59 anos;44569;0
Piauí;2010;10 a 14 anos;151454;630
Piauí;2010;15 a 19 anos;149871;11015
Piauí;2010;20 a 24 anos;152956;16702
Piauí;2010;25 a 29 anos;140465;13276
Piauí;2010;30 a 34 anos;126611;7607
Piauí;2010;35 a 39 anos;106392;3042
Piauí;2010;40 a 44 anos;98826;789
Piauí;2010;45 a 49 anos;88646;51
Piauí;2010;50 a 54 anos;75969;6
Piauí;2010;55 a 59 anos;65082;1
Ceará;2000;10 a 14 anos;430043;1500
Ceará;2000;15 a 19 anos;410139;32838
Ceará;2000;20 a 24 anos;347531;43660
Ceará;2000;25 a 29 anos;291368;31246
Ceará;2000;30 a 34 anos;275373;20047
Ceará;2000;35 a 39 anos;251232;10937
Ceará;2000;40 a 44 anos;201138;3408
Ceará;2000;45 a 49 anos;170330;346
Ceará;2000;50 a 54 anos;146574;2
Ceará;2000;55 a 59 anos;120266;3
Ceará;2010;10 a 14 anos;416282;1480
Ceará;2010;15 a 19 anos;421265;24898
Ceará;2010;20 a 24 anos;416392;35698
Ceará;2010;25 a 29 anos;378568;31278
Ceará;2010;30 a 34 anos;337976;21065
Ceará;2010;35 a 39 anos;298600;9980
Ceará;2010;40 a 44 anos;282238;2878
Ceará;2010;45 a 49 anos;250651;257
Ceará;2010;50 a 54 anos;201189;10
Ceará;2010;55 a 59 anos;168847;8
Rio Grande do Norte;2000;10 a 14 anos;155428;648
Rio Grande do Norte;2000;15 a 19 anos;153727;13376
Rio Grande do Norte;2000;20 a 24 anos;130893;17078
Rio Grande do Norte;2000;25 a 29 anos;112039;11782
Rio Grande do Norte;2000;30 a 34 anos;108139;7254
Rio Grande do Norte;2000;35 a 39 anos;99758;3497
Rio Grande do Norte;2000;40 a 44 anos;78025;935
Rio Grande do Norte;2000;45 a 49 anos;62754;88
Rio Grande do Norte;2000;50 a 54 anos;56485;0
Rio Grande do Norte;2000;55 a 59 anos;45958;0
Rio Grande do Norte;2010;10 a 14 anos;143979;533
Rio Grande do Norte;2010;15 a 19 anos;147365;9521
Rio Grande do Norte;2010;20 a 24 anos;154457;14018
Rio Grande do Norte;2010;25 a 29 anos;145247;12148
Rio Grande do Norte;2010;30 a 34 anos;129107;8138
Rio Grande do Norte;2010;35 a 39 anos;115149;3640
Rio Grande do Norte;2010;40 a 44 anos;111387;991
Rio Grande do Norte;2010;45 a 49 anos;99905;67
Rio Grande do Norte;2010;50 a 54 anos;78153;4
Rio Grande do Norte;2010;55 a 59 anos;61760;1
Paraíba;2000;10 a 14 anos;193107;640
Paraíba;2000;15 a 19 anos;192602;14383
Paraíba;2000;20 a 24 anos;163788;19867
Paraíba;2000;25 a 29 anos;134653;12604
Paraíba;2000;30 a 34 anos;126817;7047
Paraíba;2000;35 a 39 anos;114176;3602
Paraíba;2000;40 a 44 anos;93606;1112
Paraíba;2000;45 a 49 anos;81742;115
Paraíba;2000;50 a 54 anos;72876;0
Paraíba;2000;55 a 59 anos;62250;0
Paraíba;2010;10 a 14 anos;171295;627
Paraíba;2010;15 a 19 anos;175151;11032
Paraíba;2010;20 a 24 anos;174689;16518
Paraíba;2010;25 a 29 anos;167015;14621
Paraíba;2010;30 a 34 anos;153314;9691
Paraíba;2010;35 a 39 anos;135280;4342
Paraíba;2010;40 a 44 anos;127882;1140
Paraíba;2010;45 a 49 anos;112429;82
Paraíba;2010;50 a 54 anos;91019;4
Paraíba;2010;55 a 59 anos;81309;1
Pernambuco;2000;10 a 14 anos;429324;1604
Pernambuco;2000;15 a 19 anos;438605;38201
Pernambuco;2000;20 a 24 anos;389475;52198
Pernambuco;2000;25 a 29 anos;333565;35601
Pernambuco;2000;30 a 34 anos;305178;19175
Pernambuco;2000;35 a 39 anos;277050;9492
Pernambuco;2000;40 a 44 anos;230618;2918
Pernambuco;2000;45 a 49 anos;197119;354
Pernambuco;2000;50 a 54 anos;170812;8
Pernambuco;2000;55 a 59 anos;136791;1
Pernambuco;2010;10 a 14 anos;411581;1680
Pernambuco;2010;15 a 19 anos;406078;28776
Pernambuco;2010;20 a 24 anos;414830;40688
Pernambuco;2010;25 a 29 anos;401078;34878
Pernambuco;2010;30 a 34 anos;372477;22254
Pernambuco;2010;35 a 39 anos;333467;10304
Pernambuco;2010;40 a 44 anos;305918;2640
Pernambuco;2010;45 a 49 anos;268189;191
Pernambuco;2010;50 a 54 anos;225006;14
Pernambuco;2010;55 a 59 anos;190539;5
Alagoas;2000;10 a 14 anos;166243;737
Alagoas;2000;15 a 19 anos;165253;16259
