UF;Ano;Idade;Mulheres;Filhos tidos no ultimo ano
Brasil;2011;10 a 14 anos;8455975;27785,92519
Brasil;2011;15 a 19 anos;8545134;533120,7514
Brasil;2011;20 a 24 anos;8685493;779294,9483
Brasil;2011;25 a 29 anos;8794137;727955,2389
Brasil;2011;30 a 34 anos;8292656;527483,5637
Brasil;2011;35 a 39 anos;7360304;250914,3547
Brasil;2011;40 a 44 anos;6845790;62088,06736
Brasil;2011;45 a 49 anos;6337962;4173,138954
Brasil;2011;50 a 54 anos;5534017;279,0092902
Brasil;2011;55 a 59 anos;4590633;40,00133193
Brasil;2012;10 a 14 anos;8283444;28236,48587
Brasil;2012;15 a 19 anos;8570279;531918,1527
Brasil;2012;20 a 24 anos;8632453;757009,0259
Brasil;2012;25 a 29 anos;8796721;713138,271
Brasil;2012;30 a 34 anos;8436024;547784,4257
Brasil;2012;35 a 39 anos;7533612;259338,4624
Brasil;2012;40 a 44 anos;6902814;63898,0995
Brasil;2012;45 a 49 anos;6440833;4142,071273
Brasil;2012;50 a 54 anos;5689298;270,004646
Brasil;2012;55 a 59 anos;4749890;29,00049901
Brasil;2013;10 a 14 anos;8089460;27989,39516
Brasil;2013;15 a 19 anos;8598599;532009,5111
Brasil;2013;20 a 24 anos;8580317;738945,4327
Brasil;2013;25 a 29 anos;8774734;703872,9375
Brasil;2013;30 a 34 anos;8559102;563012,9488
Brasil;2013;35 a 39 anos;7724944;268540,7913
Brasil;2013;40 a 44 anos;6962420;65196,92047
Brasil;2013;45 a 49 anos;6533234;4137,058408
Brasil;2013;50 a 54 anos;5839169;258,0036426
Brasil;2013;55 a 59 anos;4909737;50,00070593
Brasil;2014;10 a 14 anos;7907189;28244,89117
Brasil;2014;15 a 19 anos;8595020;534380,8605
Brasil;2014;20 a 24 anos;8541427;745030,5068
Brasil;2014;25 a 29 anos;8740162;722196,7864
Brasil;2014;30 a 34 anos;8655506;584988,4572
Brasil;2014;35 a 39 anos;7914003;290910,1786
Brasil;2014;40 a 44 anos;7043480;68878,17321
Brasil;2014;45 a 49 anos;6616280;4234,133593
Brasil;2014;50 a 54 anos;5978738;318,0100337
Brasil;2014;55 a 59 anos;5069150;60,00189315
Brasil;2015;10 a 14 anos;7760725;26700,85827
Brasil;2015;15 a 19 anos;8538650;520880,7432
Brasil;2015;20 a 24 anos;8522158;751693,1624
Brasil;2015;25 a 29 anos;8701585;728427,4146
Brasil;2015;30 a 34 anos;8721648;601669,3401
Brasil;2015;35 a 39 anos;8086921;311045,9983
Brasil;2015;40 a 44 anos;7156924;72393,32701
Brasil;2015;45 a 49 anos;6691951;4489,144299
Brasil;2015;50 a 54 anos;6105077;299,0096114
Brasil;2015;55 a 59 anos;5227119;49,00157511
Brasil;2016;10 a 14 anos;7628594;24135,43072
Brasil;2016;15 a 19 anos;8440520;477254,517
Brasil;2016;20 a 24 anos;8522717;721313,8725
Brasil;2016;25 a 29 anos;8657447;680488,1439
Brasil;2016;30 a 34 anos;8757209;570101,174
Brasil;2016;35 a 39 anos;8245277;307411,486
Brasil;2016;40 a 44 anos;7299989;72438,29273
Brasil;2016;45 a 49 anos;6760080;4321,077113
Brasil;2016;50 a 54 anos;6219391;258,0046043
Brasil;2016;55 a 59 anos;5383125;47,00083877
Brasil;2017;10 a 14 anos;7522151;22146,34088
Brasil;2017;15 a 19 anos;8268820;458784,0618
Brasil;2017;20 a 24 anos;8548800;730129,2384
Brasil;2017;25 a 29 anos;8606118;696873,7265
Brasil;2017;30 a 34 anos;8761261;593775,1396
Brasil;2017;35 a 39 anos;8389416;338107,2043
Brasil;2017;40 a 44 anos;7473560;78732,21187
Brasil;2017;45 a 49 anos;6818469;4669,071868
Brasil;2017;50 a 54 anos;6322798;263,0040482
Brasil;2017;55 a 59 anos;5537330;37,00056952
Brasil;2018;10 a 14 anos;7430076;21172,49607
Brasil;2018;15 a 19 anos;8075784;434966,1913
Brasil;2018;20 a 24 anos;8578290;723368,9486
Brasil;2018;25 a 29 anos;8556279;696575,3208
Brasil;2018;30 a 34 anos;8741379;611729,3329
Brasil;2018;35 a 39 anos;8513782;365822,5713
Brasil;2018;40 a 44 anos;7665266;85980,01452
Brasil;2018;45 a 49 anos;6879600;4920,115279
Brasil;2018;50 a 54 anos;6416015;323,0075681
Brasil;2018;55 a 59 anos;5686330;50,00117153
Brasil;2019;10 a 14 anos;7343636;19330,4885
Brasil;2019;15 a 19 anos;7894402;399932,1066
Brasil;2019;20 a 24 anos;8575788;697495,6262
Brasil;2019;25 a 29 anos;8519370;674444,0437
Brasil;2019;30 a 34 anos;8708998;597134,09
Brasil;2019;35 a 39 anos;8611601;364114,2014
Brasil;2019;40 a 44 anos;7854763;90970,29889
Brasil;2019;45 a 49 anos;6961901;5310,134191
Brasil;2019;50 a 54 anos;6500061;347,0087692
Brasil;2019;55 a 59 anos;5825240;45,00113721
Rondônia;2011;10 a 14 anos;77811;291
Rondônia;2011;15 a 19 anos;78377;6034
Rondônia;2011;20 a 24 anos;75902;8561
Rondônia;2011;25 a 29 anos;74692;6969
Rondônia;2011;30 a 34 anos;69088;3923
Rondônia;2011;35 a 39 anos;60914;1544
Rondônia;2011;40 a 44 anos;53346;280
Rondônia;2011;45 a 49 anos;45558;21
Rondônia;2011;50 a 54 anos;36600;1
Rondônia;2011;55 a 59 anos;28059;1
Rondônia;2012;10 a 14 anos;77267;269,0101433
Rondônia;2012;15 a 19 anos;78366;5658,213348
Rondônia;2012;20 a 24 anos;76415;8013,302149
Rondônia;2012;25 a 29 anos;75173;6612,249321
Rondônia;2012;30 a 34 anos;70703;4135,15592
Rondônia;2012;35 a 39 anos;62530;1512,057014
Rondônia;2012;40 a 44 anos;54766;303,0114253
Rondônia;2012;45 a 49 anos;47077;17,00064103
Rondônia;2012;50 a 54 anos;38190;1,000037707
Rondônia;2012;55 a 59 anos;29447;0
Rondônia;2013;10 a 14 anos;76135;241
Rondônia;2013;15 a 19 anos;78185;5675
Rondônia;2013;20 a 24 anos;77000;7976
Rondônia;2013;25 a 29 anos;75408;6792
Rondônia;2013;30 a 34 anos;72235;4434
Rondônia;2013;35 a 39 anos;64195;1668
Rondônia;2013;40 a 44 anos;56173;346
Rondônia;2013;45 a 49 anos;48557;25
Rondônia;2013;50 a 54 anos;39810;2
Rondônia;2013;55 a 59 anos;30832;1
Rondônia;2014;10 a 14 anos;74867;305
Rondônia;2014;15 a 19 anos;77868;5538
Rondônia;2014;20 a 24 anos;77506;8135
Rondônia;2014;25 a 29 anos;75598;6825
Rondônia;2014;30 a 34 anos;73583;4568
Rondônia;2014;35 a 39 anos;65865;1798
Rondônia;2014;40 a 44 anos;57606;413
Rondônia;2014;45 a 49 anos;50019;15
Rondônia;2014;50 a 54 anos;41422;0
Rondônia;2014;55 a 59 anos;32244;1
Rondônia;2015;10 a 14 anos;73678;234
Rondônia;2015;15 a 19 anos;77429;5391
Rondônia;2015;20 a 24 anos;77841;8040
Rondônia;2015;25 a 29 anos;75855;6989
Rondônia;2015;30 a 34 anos;74697;4782
Rondônia;2015;35 a 39 anos;67510;2019
Rondônia;2015;40 a 44 anos;59083;412
Rondônia;2015;45 a 49 anos;51480;21
Rondônia;2015;50 a 54 anos;42999;1
Rondônia;2015;55 a 59 anos;33698;0
Rondônia;2016;10 a 14 anos;71725;257
Rondônia;2016;15 a 19 anos;77618;5089
Rondônia;2016;20 a 24 anos;78011;7722
Rondônia;2016;25 a 29 anos;76210;6687
Rondônia;2016;30 a 34 anos;75525;4511
Rondônia;2016;35 a 39 anos;69127;2010
Rondônia;2016;40 a 44 anos;60618;412
Rondônia;2016;45 a 49 anos;52923;15
Rondônia;2016;50 a 54 anos;44540;2
Rondônia;2016;55 a 59 anos;35196;0
Rondônia;2017;10 a 14 anos;70165;231
Rondônia;2017;15 a 19 anos;77078;4825
Rondônia;2017;20 a 24 anos;78005;7869
Rondônia;2017;25 a 29 anos;76718;6938
Rondônia;2017;30 a 34 anos;75989;4924
Rondônia;2017;35 a 39 anos;70731;2269
Rondônia;2017;40 a 44 anos;62219;438
Rondônia;2017;45 a 49 anos;54327;27
Rondônia;2017;50 a 54 anos;46037;0
Rondônia;2017;55 a 59 anos;36753;2
Rondônia;2018;10 a 14 anos;69068;222
Rondônia;2018;15 a 19 anos;75952;4670
Rondônia;2018;20 a 24 anos;77829;7865
Rondônia;2018;25 a 29 anos;77297;7198
Rondônia;2018;30 a 34 anos;76210;5107
Rondônia;2018;35 a 39 anos;72248;2516
Rondônia;2018;40 a 44 anos;63875;488
Rondônia;2018;45 a 49 anos;55716;27
Rondônia;2018;50 a 54 anos;47498;0
Rondônia;2018;55 a 59 anos;38335;0
Rondônia;2019;10 a 14 anos;68080;193
Rondônia;2019;15 a 19 anos;74690;4326
Rondônia;2019;20 a 24 anos;77520;7304
Rondônia;2019;25 a 29 anos;77795;6990
Rondônia;2019;30 a 34 anos;76386;4976
Rondônia;2019;35 a 39 anos;73586;2579
Rondônia;2019;40 a 44 anos;65532;547
Rondônia;2019;45 a 49 anos;57134;18
Rondônia;2019;50 a 54 anos;48938;4
Rondônia;2019;55 a 59 anos;39916;0
Acre;2011;10 a 14 anos;44563;374,0407208
Acre;2011;15 a 19 anos;39912;4574,498013
Acre;2011;20 a 24 anos;35973;5078,552888
Acre;2011;25 a 29 anos;34795;4054,441396
Acre;2011;30 a 34 anos;31366;2667,290381
Acre;2011;35 a 39 anos;25271;1253,136425
Acre;2011;40 a 44 anos;20999;329,0358212
Acre;2011;45 a 49 anos;16616;34,00370189
