UF;Grupos de idade;Mulheres;Filhos Tidos Nascidos Vivos;Filhos tidos no ultimo ano;Ano
Maranhão;20 a 24 anos;270286;333365;51479;2000
Maranhão;25 a 29 anos;205063;434315;25706;2000
Maranhão;30 a 34 anos;180525;530161;13077;2000
Maranhão;35 a 39 anos;161933;601384;7433;2000
Maranhão;40 a 44 anos;136862;622224;2931;2000
Maranhão;45 a 49 anos;113809;602704;624;2000
Maranhão;50 a 54 anos;90097;520360;230;2000
Maranhão;55 a 59 anos;78849;500807;189;2000
Maranhão;60 a 64 anos;67071;433207;0;2000
Maranhão;65 a 69 anos;50459;328683;0;2000
Maranhão;70 anos ou mais;91148;566241;0;2000
Piauí;10 a 14 anos;173389;864;512;2000
Piauí;15 a 19 anos;170717;32585;13261;2000
Piauí;20 a 24 anos;139567;132853;21055;2000
Piauí;25 a 29 anos;107516;184270;12332;2000
Piauí;30 a 34 anos;98578;238451;6200;2000
Piauí;35 a 39 anos;90625;281217;3254;2000
Piauí;40 a 44 anos;77193;301243;1219;2000
Piauí;45 a 49 anos;65155;305762;286;2000
Piauí;50 a 54 anos;53885;298110;68;2000
Piauí;55 a 59 anos;44569;281566;51;2000
Piauí;60 a 64 anos;39502;269409;0;2000
Piauí;65 a 69 anos;30115;213299;0;2000
Piauí;70 anos ou mais;56414;387154;0;2000
Ceará;10 a 14 anos;430043;1866;1128;2000
Ceará;15 a 19 anos;410139;77840;28980;2000
Ceará;20 a 24 anos;347531;295895;46162;2000
Ceará;25 a 29 anos;291368;468528;35088;2000
Ceará;30 a 34 anos;275373;643381;23364;2000
Ceará;35 a 39 anos;251232;754947;14343;2000
Ceará;40 a 44 anos;201138;756050;4519;2000
Ceará;45 a 49 anos;170330;754717;841;2000
Ceará;50 a 54 anos;146574;747226;221;2000
Ceará;55 a 59 anos;120266;714362;254;2000
Ceará;60 a 64 anos;109065;703716;0;2000
Ceará;65 a 69 anos;80298;556419;0;2000
Ceará;70 anos ou mais;170867;1218226;0;2000
Rio Grande do Norte;10 a 14 anos;155428;931;529;2000
Rio Grande do Norte;15 a 19 anos;153727;30907;11583;2000
Rio Grande do Norte;20 a 24 anos;130893;112168;17055;2000
Rio Grande do Norte;25 a 29 anos;112039;177675;12668;2000
Rio Grande do Norte;30 a 34 anos;108139;243390;7528;2000
Rio Grande do Norte;35 a 39 anos;99758;282076;3809;2000
Rio Grande do Norte;40 a 44 anos;78025;268238;1374;2000
Rio Grande do Norte;45 a 49 anos;62754;256713;186;2000
Rio Grande do Norte;50 a 54 anos;56485;287852;86;2000
Rio Grande do Norte;55 a 59 anos;45958;280597;10;2000
Rio Grande do Norte;60 a 64 anos;40396;273309;0;2000
Rio Grande do Norte;65 a 69 anos;28592;208239;0;2000
Rio Grande do Norte;70 anos ou mais;67841;513433;0;2000
Paraíba;10 a 14 anos;193107;878;608;2000
Paraíba;15 a 19 anos;192602;34544;13760;2000
Paraíba;20 a 24 anos;163788;136753;21811;2000
Paraíba;25 a 29 anos;134653;213664;14926;2000
Paraíba;30 a 34 anos;126817;289779;9253;2000
Paraíba;35 a 39 anos;114176;329904;4926;2000
Paraíba;40 a 44 anos;93606;343781;1524;2000
