UF;Grupos de idade;Mulheres;Filhos Tidos Nascidos Vivos;Filhos tidos no ultimo ano;Ano
Rio Grande do Norte;40 a 44 anos;111387;278304;1387;2010
Rio Grande do Norte;45 a 49 anos;99905;283874;205;2010
Rio Grande do Norte;50 a 54 anos;78153;264977;83;2010
Rio Grande do Norte;55 a 59 anos;61760;239859;69;2010
Rio Grande do Norte;60 a 64 anos;56292;263073;0;2010
Rio Grande do Norte;65 a 69 anos;42251;238344;0;2010
Rio Grande do Norte;70 anos ou mais;93238;623720;0;2010
Paraíba;10 a 14 anos;171295;761;351;2010
Paraíba;15 a 19 anos;175151;26945;9892;2010
Paraíba;20 a 24 anos;174689;111560;17156;2010
Paraíba;25 a 29 anos;167015;204678;14483;2010
Paraíba;30 a 34 anos;153314;277640;9574;2010
Paraíba;35 a 39 anos;135280;294162;4483;2010
Paraíba;40 a 44 anos;127882;319960;1427;2010
Paraíba;45 a 49 anos;112429;326869;253;2010
Paraíba;50 a 54 anos;91019;317791;103;2010
Paraíba;55 a 59 anos;81309;340672;69;2010
Paraíba;60 a 64 anos;71286;353256;0;2010
Paraíba;65 a 69 anos;56293;324661;0;2010
Paraíba;70 anos ou mais;128085;824912;0;2010
Pernambuco;10 a 14 anos;411581;2249;1049;2010
Pernambuco;15 a 19 anos;406078;64558;23206;2010
Pernambuco;20 a 24 anos;414830;268122;38623;2010
Pernambuco;25 a 29 anos;401078;482539;32073;2010
Pernambuco;30 a 34 anos;372477;659214;20604;2010
Pernambuco;35 a 39 anos;333467;706991;9872;2010
Pernambuco;40 a 44 anos;305918;741945;3170;2010
Pernambuco;45 a 49 anos;268189;737494;809;2010
Pernambuco;50 a 54 anos;225006;715738;428;2010
Pernambuco;55 a 59 anos;190539;715733;407;2010
Pernambuco;60 a 64 anos;159365;705664;0;2010
Pernambuco;65 a 69 anos;124321;638433;0;2010
Pernambuco;70 anos ou mais;253777;1457813;0;2010
Alagoas;10 a 14 anos;167019;1124;622;2010
Alagoas;15 a 19 anos;156806;29281;10721;2010
Alagoas;20 a 24 anos;149294;116495;15949;2010
Alagoas;25 a 29 anos;141271;199174;12316;2010
Alagoas;30 a 34 anos;128946;264830;7912;2010
Alagoas;35 a 39 anos;111709;279665;3723;2010
Alagoas;40 a 44 anos;102115;298516;1278;2010
Alagoas;45 a 49 anos;85210;295171;335;2010
Alagoas;50 a 54 anos;71684;285059;204;2010
Alagoas;55 a 59 anos;60200;281746;204;2010
Alagoas;60 a 64 anos;46746;248840;0;2010
Alagoas;65 a 69 anos;36506;220814;0;2010
Alagoas;70 anos ou mais;69479;450031;0;2010
Sergipe;10 a 14 anos;102294;640;314;2010
Sergipe;15 a 19 anos;100857;14888;5369;2010
Sergipe;20 a 24 anos;101799;62314;8894;2010
Sergipe;25 a 29 anos;97490;116346;8011;2010
Sergipe;30 a 34 anos;88689;158000;5402;2010
Sergipe;35 a 39 anos;77912;178199;2961;2010
Sergipe;40 a 44 anos;71092;197950;1085;2010
Sergipe;45 a 49 anos;59923;183256;194;2010
Sergipe;50 a 54 anos;48818;181749;71;2010
Sergipe;55 a 59 anos;39093;166759;97;2010
Sergipe;60 a 64 anos;32237;166509;0;2010
Sergipe;65 a 69 anos;23889;141511;0;2010
Sergipe;70 anos ou mais;48167;300245;0;2010
Bahia;10 a 14 anos;657784;3677;1882;2010
Bahia;15 a 19 anos;658343;103678;35754;2010
Bahia;20 a 24 anos;657261;429103;56832;2010
Bahia;25 a 29 anos;666365;784292;52447;2010
Bahia;30 a 34 anos;598062;1030663;35169;2010
Bahia;35 a 39 anos;504427;1086464;16569;2010
Bahia;40 a 44 anos;464361;1183064;5555;2010
Bahia;45 a 49 anos;402448;1214277;1032;2010
Bahia;50 a 54 anos;347058;1261357;387;2010
Bahia;55 a 59 anos;279851;1195831;483;2010
Bahia;60 a 64 anos;230346;1148466;0;2010
Bahia;65 a 69 anos;183109;1042123;0;2010
Bahia;70 anos ou mais;382497;2274903;0;2010
Minas Gerais;10 a 14 anos;829936;3199;1291;2010
Minas Gerais;15 a 19 anos;850598;90967;32969;2010
Minas Gerais;20 a 24 anos;859199;424880;64015;2010
Minas Gerais;25 a 29 anos;853042;857309;63092;2010
Minas Gerais;30 a 34 anos;806047;1248954;47864;2010
Minas Gerais;35 a 39 anos;722023;1402700;24687;2010
Minas Gerais;40 a 44 anos;701852;1544254;8035;2010
Minas Gerais;45 a 49 anos;666332;1606401;1274;2010
Minas Gerais;50 a 54 anos;583383;1599296;565;2010
Minas Gerais;55 a 59 anos;481438;1515486;380;2010
Minas Gerais;60 a 64 anos;376600;1378680;0;2010
Minas Gerais;65 a 69 anos;291382;1277414;0;2010
Minas Gerais;70 anos ou mais;604128;3145961;0;2010
Espírito Santo;10 a 14 anos;148835;485;199;2010
Espírito Santo;15 a 19 anos;150145;19196;6725;2010
Espírito Santo;20 a 24 anos;160595;86479;12703;2010
Espírito Santo;25 a 29 anos;161730;170256;12303;2010
Espírito Santo;30 a 34 anos;151806;241545;9436;2010
Espírito Santo;35 a 39 anos;132299;259630;4140;2010
Espírito Santo;40 a 44 anos;125114;278641;1143;2010
Espírito Santo;45 a 49 anos;117041;281707;172;2010
Espírito Santo;50 a 54 anos;102951;283206;136;2010
Espírito Santo;55 a 59 anos;82830;257343;103;2010
Espírito Santo;60 a 64 anos;60515;226361;0;2010
Espírito Santo;65 a 69 anos;45379;203204;0;2010
Espírito Santo;70 anos ou mais;94070;515754;0;2010
Rio de Janeiro;10 a 14 anos;642128;4111;1551;2010
Rio de Janeiro;15 a 19 anos;632237;77238;26866;2010
Rio de Janeiro;20 a 24 anos;656053;326082;46376;2010
Rio de Janeiro;25 a 29 anos;699198;651367;48588;2010
Rio de Janeiro;30 a 34 anos;685276;961148;38093;2010
Rio de Janeiro;35 a 39 anos;623979;1069666;20261;2010
Rio de Janeiro;40 a 44 anos;599988;1132311;6597;2010
Rio de Janeiro;45 a 49 anos;586205;1154421;1220;2010
Rio de Janeiro;50 a 54 anos;541720;1156925;630;2010
Rio de Janeiro;55 a 59 anos;450180;1029378;305;2010
Rio de Janeiro;60 a 64 anos;364374;927150;0;2010
Rio de Janeiro;65 a 69 anos;271179;788737;0;2010
Rio de Janeiro;70 anos ou mais;586290;1983095;0;2010
São Paulo;10 a 14 anos;1637460;8116;3373;2010
São Paulo;15 a 19 anos;1635481;172104;61453;2010
São Paulo;20 a 24 anos;1802155;820906;126738;2010
São Paulo;25 a 29 anos;1908524;1703152;135027;2010
São Paulo;30 a 34 anos;1815007;2533268;109420;2010
São Paulo;35 a 39 anos;1634719;2928197;58792;2010
São Paulo;40 a 44 anos;1535515;3103090;16545;2010
São Paulo;45 a 49 anos;1444434;3142222;2299;2010
São Paulo;50 a 54 anos;1287100;3051361;1081;2010
São Paulo;55 a 59 anos;1057440;2752218;974;2010
São Paulo;60 a 64 anos;834489;2442446;0;2010
São Paulo;65 a 69 anos;612586;2039125;0;2010
São Paulo;70 anos ou mais;1261572;4768088;0;2010
Paraná;10 a 14 anos;445734;1738;927;2010
Paraná;15 a 19 anos;458368;59301;21488;2010
Paraná;20 a 24 anos;449437;242741;35495;2010
Paraná;25 a 29 anos;443710;469965;35155;2010
Paraná;30 a 34 anos;425853;682826;27826;2010
Paraná;35 a 39 anos;403014;807213;13715;2010
Paraná;40 a 44 anos;394286;877161;4725;2010
Paraná;45 a 49 anos;363771;879922;586;2010
Paraná;50 a 54 anos;311131;847642;210;2010
Paraná;55 a 59 anos;255397;797036;114;2010
Paraná;60 a 64 anos;200343;723711;0;2010
Paraná;65 a 69 anos;152758;668926;0;2010
Paraná;70 anos ou mais;282526;1452285;0;2010
Santa Catarina;10 a 14 anos;254699;894;406;2010
Santa Catarina;15 a 19 anos;269017;28718;10684;2010
Santa Catarina;20 a 24 anos;278273;132267;20849;2010
Santa Catarina;25 a 29 anos;280317;264681;21012;2010
Santa Catarina;30 a 34 anos;254869;383930;16407;2010
Santa Catarina;35 a 39 anos;236535;461152;8550;2010
Santa Catarina;40 a 44 anos;233944;515669;2404;2010
Santa Catarina;45 a 49 anos;225123;535995;388;2010
Santa Catarina;50 a 54 anos;187634;495041;67;2010
Santa Catarina;55 a 59 anos;152898;455792;84;2010
Santa Catarina;60 a 64 anos;117127;407097;0;2010
Santa Catarina;65 a 69 anos;83998;359685;0;2010
Santa Catarina;70 anos ou mais;160698;854975;0;2010
Rio Grande do Sul;10 a 14 anos;422937;1313;612;2010
Rio Grande do Sul;15 a 19 anos;433131;45749;16605;2010
Rio Grande do Sul;20 a 24 anos;433295;199833;29175;2010
Rio Grande do Sul;25 a 29 anos;448403;406916;31113;2010
Rio Grande do Sul;30 a 34 anos;409206;581860;25972;2010
Rio Grande do Sul;35 a 39 anos;379016;698624;15624;2010
Rio Grande do Sul;40 a 44 anos;391422;809832;5128;2010
Rio Grande do Sul;45 a 49 anos;399909;885272;614;2010
Rio Grande do Sul;50 a 54 anos;360251;853580;179;2010
Rio Grande do Sul;55 a 59 anos;307810;790322;122;2010
Rio Grande do Sul;60 a 64 anos;247556;710198;0;2010
Rio Grande do Sul;65 a 69 anos;189156;622362;0;2010
Rio Grande do Sul;70 anos ou mais;396798;1598518;0;2010
Mato Grosso do Sul;10 a 14 anos;109137;628;325;2010
Mato Grosso do Sul;15 a 19 anos;111895;19921;6988;2010
Mato Grosso do Sul;20 a 24 anos;108681;76202;10907;2010
Mato Grosso do Sul;25 a 29 anos;109166;141175;9869;2010
Mato Grosso do Sul;30 a 34 anos;101358;188477;5987;2010
Mato Grosso do Sul;35 a 39 anos;92154;202848;3089;2010
Mato Grosso do Sul;40 a 44 anos;85721;203939;588;2010
Mato Grosso do Sul;45 a 49 anos;79169;205064;216;2010
Mato Grosso do Sul;50 a 54 anos;64564;186262;67;2010
Mato Grosso do Sul;55 a 59 anos;52639;175827;71;2010
Mato Grosso do Sul;60 a 64 anos;39437;152517;0;2010
Mato Grosso do Sul;65 a 69 anos;30141;140715;0;2010
Mato Grosso do Sul;70 anos ou mais;54384;303614;0;2010
Mato Grosso;10 a 14 anos;137332;1098;537;2010
Mato Grosso;15 a 19 anos;140069;23818;8071;2010
Mato Grosso;20 a 24 anos;140383;102851;13953;2010
Mato Grosso;25 a 29 anos;139957;188101;11913;2010
Mato Grosso;30 a 34 anos;131815;252030;7238;2010
Mato Grosso;35 a 39 anos;116394;258472;3053;2010
Mato Grosso;40 a 44 anos;104315;254411;840;2010
Mato Grosso;45 a 49 anos;89376;241758;212;2010
Mato Grosso;50 a 54 anos;72009;224850;20;2010
Mato Grosso;55 a 59 anos;54108;201441;58;2010
Mato Grosso;60 a 64 anos;39632;173925;0;2010
Mato Grosso;65 a 69 anos;29571;156263;0;2010
Mato Grosso;70 anos ou mais;47368;288876;0;2010
Goiás;10 a 14 anos;261246;1273;771;2010
Goiás;15 a 19 anos;264739;38699;14427;2010
Goiás;20 a 24 anos;274766;172841;24831;2010
Goiás;25 a 29 anos;279466;338043;22502;2010
Goiás;30 a 34 anos;270132;475755;15699;2010
Goiás;35 a 39 anos;240852;496030;6190;2010
Goiás;40 a 44 anos;219706;489821;1651;2010
Goiás;45 a 49 anos;190451;459005;229;2010
Goiás;50 a 54 anos;156284;426861;166;2010
Goiás;55 a 59 anos;125525;395477;169;2010
Goiás;60 a 64 anos;96618;369156;0;2010
Goiás;65 a 69 anos;70446;316687;0;2010
Goiás;70 anos ou mais;125344;674362;0;2010
Distrito Federal;10 a 14 anos;108349;465;152;2010
Distrito Federal;15 a 19 anos;111733;10515;4050;2010
Distrito Federal;20 a 24 anos;125084;54785;8364;2010
Distrito Federal;25 a 29 anos;140292;122263;9456;2010
Distrito Federal;30 a 34 anos;133841;184444;8763;2010
Distrito Federal;35 a 39 anos;112636;200737;5468;2010
Distrito Federal;40 a 44 anos;98986;205851;1095;2010
Distrito Federal;45 a 49 anos;85117;191421;280;2010
Distrito Federal;50 a 54 anos;67410;167051;66;2010
Distrito Federal;55 a 59 anos;53071;151451;0;2010
Distrito Federal;60 a 64 anos;40008;124568;0;2010
Distrito Federal;65 a 69 anos;27441;101843;0;2010
Distrito Federal;70 anos ou mais;46233;210271;0;2010
