UF;Grupos.de.idade;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010
Ceará;30 a 34 anos;278578;282089;285080;288112;291983;297203;303594;311016;319429;328715;338695
Ceará;35 a 39 anos;250871;257899;263744;268581;272765;276579;279964;282833;285729;289452;294498
Ceará;40 a 44 anos;202650;210941;220459;230482;239887;247970;254871;260589;265298;269348;273020
Ceará;45 a 49 anos;172584;176898;181338;186233;192065;199070;207178;216479;226260;235415;243252
Ceará;50 a 54 anos;148931;153383;157275;160841;164484;168476;172709;177062;181858;187565;194412
Ceará;55 a 59 anos;118879;122467;127441;133222;138861;143790;148175;152026;155566;159182;163136
Distrito Federal;10 a 14 anos;95895;96310;97960;100454;103073;105295;107243;108959;110251;110927;110790
Distrito Federal;15 a 19 anos;117763;117009;114930;112280;110248;109610;110263;112247;115168;118283;121032
Distrito Federal;20 a 24 anos;123114;123844;124994;126388;127792;129089;129675;128884;127488;126711;127366
Distrito Federal;25 a 29 anos;109767;113489;117258;120853;123887;126141;128305;130915;133759;136571;139212
Distrito Federal;30 a 34 anos;96854;99166;101780;104778;108281;112319;116579;120893;125032;128611;131407
Distrito Federal;35 a 39 anos;84114;87371;90290;92963;95543;98138;100920;104025;107528;111549;116121
Distrito Federal;40 a 44 anos;68204;70299;73046;76312;79879;83626;87347;90826;94135;97390;100670
Distrito Federal;45 a 49 anos;55777;57976;59912;61725;63615;65710;68236;71463;75288;79501;83965
Distrito Federal;50 a 54 anos;41672;44224;46847;49501;52142;54749;57235;59481;61612;63818;66229
Distrito Federal;55 a 59 anos;28582;30439;32637;35090;37653;40232;42866;45586;48355;51124;53866
Espírito Santo;10 a 14 anos;156994;155814;154860;154130;153553;153103;152893;153011;153495;154374;155645
Espírito Santo;15 a 19 anos;164419;164597;163794;162351;160830;159606;158594;157805;157238;156825;156541
Espírito Santo;20 a 24 anos;151850;155733;159463;162758;165228;166643;167077;166512;165290;163971;162935
Espírito Santo;25 a 29 anos;133955;137138;140968;145236;149610;153843;157922;161843;165321;167959;169521
Espírito Santo;30 a 34 anos;126524;127818;129079;130521;132451;135046;138276;142156;146477;150906;155193
Espírito Santo;35 a 39 anos;119731;121495;123019;124374;125666;126981;128301;129586;131049;133001;135616
Espírito Santo;40 a 44 anos;105873;109186;112247;115024;117480;119607;121446;123036;124450;125791;127153
Espírito Santo;45 a 49 anos;85474;89733;93873;97856;101657;105253;108607;111704;114508;116986;119125
Espírito Santo;50 a 54 anos;63169;67000;71184;75595;80035;84371;88603;92716;96670;100437;103997
Espírito Santo;55 a 59 anos;48522;50442;52711;55347;58374;61789;65564;69676;74006;78361;82610
Goiás;10 a 14 anos;245361;246566;248639;251300;254020;256432;258634;260639;262322;263539;264052
Goiás;15 a 19 anos;260177;261356;261158;260216;259537;259758;260781;262681;265175;267735;269993
Goiás;20 a 24 anos;254404;259940;264978;269320;272706;275020;276149;275847;274767;273933;273993
Goiás;25 a 29 anos;233112;238806;245181;251915;258480;264513;270025;275004;279241;282466;284572
Goiás;30 a 34 anos;216200;220887;225153;229280;233699;238662;244193;250407;256974;263367;269217
Goiás;35 a 39 anos;191973;198189;204033;209512;214658;219514;224025;228113;232063;236307;241095
Goiás;40 a 44 anos;158470;165685;173028;180317;187293;193779;199849;205531;210839;215809;220495
Goiás;45 a 49 anos;126724;132968;139319;145806;152480;159352;166362;173484;180539;187267;193501
Goiás;50 a 54 anos;98714;103772;109046;114529;120227;126136;132205;138374;144671;151151;157824
Goiás;55 a 59 anos;75857;79265;83186;87529;92128;96878;101823;106979;112334;117899;123668
Maranhão;10 a 14 anos;367438;362987;357654;351993;346697;342361;339142;337236;337064;338969;343015
Maranhão;15 a 19 anos;349561;353537;354727;353593;350989;347556;343225;338031;332511;327345;323120
Maranhão;20 a 24 anos;271015;284321;298247;311482;322103;328906;332578;333578;332347;329706;326275
Maranhão;25 a 29 anos;210085;218168;227284;237445;248664;260796;273579;286989;299745;309957;316441
Maranhão;30 a 34 anos;182495;186052;189589;193565;198645;205238;213103;221978;231873;242807;254631
Maranhão;35 a 39 anos;161686;165184;168564;171873;175188;178606;182097;185562;189457;194437;200902
Maranhão;40 a 44 anos;137467;141472;145636;149821;153800;157452;160887;164205;167453;170703;174056
Maranhão;45 a 49 anos;115019;118799;122348;125786;129319;133066;136966;141018;145086;148949;152493
